,Country,City,Overall_AQI_Value,Overall_AQI_Category,CO_AQI_Value,CO_AQI_Category,Ozone_AQI_Value,Ozone_AQI_Category,NO2_AQI_Value,NO2_AQI_Category,PM2.5_AQI_Value,PM2.5_AQI_Category,Latitude,Longitude,Continent
11406,Morocco,Agadir,41,Good,1,Good,23,Good,2,Good,41,Good,30.4333,-9.6,Africa
11407,Spain,Amposta,35,Good,1,Good,35,Good,1,Good,27,Good,40.7106,0.5808,Europe
11408,India,Anantapur,72,Moderate,0,Good,26,Good,0,Good,72,Moderate,14.68,77.599,Asia
11409,Brazil,Araras,63,Moderate,1,Good,9,Good,4,Good,63,Moderate,-22.3572,-47.3844,South America
11410,Brazil,Areia,43,Good,0,Good,14,Good,3,Good,43,Good,-6.9628,-35.6919,South America
11411,Tanzania,Arusha,41,Good,1,Good,10,Good,0,Good,41,Good,-3.3667,36.6833,Africa
11412,Morocco,Asilah,52,Moderate,1,Good,28,Good,8,Good,52,Moderate,35.4667,-6.0333,Africa
11413,Japan,Hokota,38,Good,1,Good,38,Good,1,Good,21,Good,36.1587,140.5164,Asia
11414,Austria,Hollabrunn,66,Moderate,1,Good,40,Good,1,Good,66,Moderate,48.5667,16.0833,Europe
11415,Germany,Holzkirchen,68,Moderate,1,Good,36,Good,2,Good,68,Moderate,47.8833,11.7,Europe
11416,Ukraine,Horodok,103,Unhealthy for Sensitive Groups,1,Good,39,Good,1,Good,103,Unhealthy for Sensitive Groups,49.1667,26.5667,Europe
11417,Spain,Huelva,35,Good,1,Good,35,Good,1,Good,21,Good,37.25,-6.95,Europe
11418,Ukraine,Hulyaypole,39,Good,1,Good,39,Good,0,Good,8,Good,47.6644,36.2632,Europe
11419,Brazil,Ibirataia,30,Good,1,Good,9,Good,1,Good,30,Good,-14.0669,-39.6408,South America
11420,United States,Idylwood,50,Good,1,Good,26,Good,11,Good,50,Good,38.8896,-77.2056,North America
11421,Madagascar,Ihosy,21,Good,0,Good,21,Good,0,Good,7,Good,-22.4036,46.1258,Africa
11422,Brazil,Canoas,69,Moderate,2,Good,8,Good,6,Good,69,Moderate,-29.92,-51.18,South America
11423,France,Castres,35,Good,1,Good,35,Good,1,Good,31,Good,43.6,2.25,Europe
11424,Honduras,Catacamas,29,Good,1,Good,13,Good,1,Good,29,Good,14.8486,-85.8942,North America
11425,Argentina,Catamarca,22,Good,0,Good,22,Good,0,Good,4,Good,-28.4667,-65.7833,South America
11426,Colombia,Caucasia,40,Good,1,Good,9,Good,1,Good,40,Good,7.9833,-75.2,South America
11427,Italy,Cesena,35,Good,1,Good,34,Good,4,Good,35,Good,44.1389,12.2444,Europe
11428,United States,Clayton,88,Moderate,2,Good,10,Good,20,Good,88,Moderate,53.782,-1.8135,North America
11429,Mexico,Cuautla,154,Unhealthy,4,Good,0,Good,14,Good,154,Unhealthy,18.8167,-98.95,North America
11430,India,Cuddapah,85,Moderate,0,Good,26,Good,0,Good,85,Moderate,14.47,78.82,Asia
11431,Peru,Cusco,29,Good,1,Good,2,Good,2,Good,29,Good,-13.525,-71.9722,South America
11432,United States,Vincennes,43,Good,1,Good,43,Good,5,Good,43,Good,48.8478,2.4392,North America
11433,Russia,Vladivostok,56,Moderate,1,Good,35,Good,2,Good,56,Moderate,43.1333,131.9,Asia
11434,Russia,Volosovo,62,Moderate,1,Good,44,Good,1,Good,62,Moderate,59.4333,29.4833,Asia
11435,Netherlands,Wageningen,36,Good,0,Good,33,Good,1,Good,36,Good,51.9667,5.6667,Europe
11436,Bolivia,Warnes,14,Good,1,Good,5,Good,0,Good,14,Good,-17.5167,-63.1667,South America
11437,Germany,Wehr,94,Moderate,1,Good,25,Good,3,Good,94,Moderate,47.6297,7.9044,Europe
