,Country,City,Overall_AQI_Value,Overall_AQI_Category,CO_AQI_Value,CO_AQI_Category,Ozone_AQI_Value,Ozone_AQI_Category,NO2_AQI_Value,NO2_AQI_Category,PM2.5_AQI_Value,PM2.5_AQI_Category,Latitude,Longitude,Continent
0,Russia,Praskoveya,51,Moderate,1,Good,36,Good,0,Good,51,Moderate,44.7444,44.2031,Asia
1,Brazil,Presidente Dutra,41,Good,1,Good,5,Good,1,Good,41,Good,-5.29,-44.49,South America
2,Italy,Priolo Gargallo,66,Moderate,1,Good,39,Good,2,Good,66,Moderate,37.1667,15.1833,Europe
3,Poland,Przasnysz,34,Good,1,Good,34,Good,0,Good,20,Good,53.0167,20.8833,Europe
4,United States,Punta Gorda,54,Moderate,1,Good,14,Good,11,Good,54,Moderate,16.1005,-88.8074,North America
5,Belgium,Puurs,64,Moderate,1,Good,29,Good,7,Good,64,Moderate,51.0761,4.2803,Europe
6,Russia,Pyatigorsk,54,Moderate,1,Good,41,Good,1,Good,54,Moderate,44.05,43.0667,Asia
7,China,Qinzhou,68,Moderate,2,Good,68,Moderate,1,Good,58,Moderate,21.95,108.6167,Asia
8,Netherlands,Raalte,41,Good,1,Good,24,Good,6,Good,41,Good,52.3833,6.2667,Europe
9,France,Raismes,59,Moderate,1,Good,30,Good,4,Good,59,Moderate,50.3892,3.4858,Europe
10,Italy,Ramacca,55,Moderate,1,Good,47,Good,0,Good,55,Moderate,37.3833,14.7,Europe
11,United States,Phoenix,72,Moderate,1,Good,4,Good,23,Good,72,Moderate,33.5722,-112.0892,North America
12,Poland,Piaseczno,28,Good,1,Good,28,Good,2,Good,28,Good,52.0667,21.0167,Europe
13,Brazil,Pinheiral,154,Unhealthy,5,Good,0,Good,13,Good,154,Unhealthy,-22.5128,-44.0008,South America
14,Colombia,Plato,67,Moderate,1,Good,16,Good,2,Good,67,Moderate,9.7919,-74.7872,South America
15,Romania,Poiana Mare,62,Moderate,1,Good,37,Good,1,Good,62,Moderate,43.9333,23.0833,Europe
16,Russia,Polevskoy,31,Good,1,Good,31,Good,0,Good,17,Good,56.45,60.1833,Asia
17,France,Pontarlier,56,Moderate,1,Good,35,Good,0,Good,56,Moderate,46.9061,6.3547,Europe
18,United States,Pontiac,77,Moderate,2,Good,22,Good,15,Good,77,Moderate,42.6493,-83.2878,North America
19,Indonesia,Pontianak,44,Good,1,Good,15,Good,0,Good,44,Good,-0.0206,109.3414,Asia
20,Brazil,Porecatu,30,Good,1,Good,9,Good,2,Good,30,Good,-22.7558,-51.3789,South America
21,Finland,Pori,30,Good,1,Good,30,Good,1,Good,15,Good,61.4833,21.8,Europe
22,South Africa,Port Elizabeth,79,Moderate,3,Good,18,Good,5,Good,79,Moderate,-33.9581,25.6,Africa
23,United States,Port Neches,34,Good,1,Good,19,Good,7,Good,34,Good,29.9765,-93.9459,North America
24,United Kingdom,Port Talbot,51,Moderate,1,Good,20,Good,5,Good,51,Moderate,51.5906,-3.7986,Europe
25,United States,Portales,77,Moderate,1,Good,34,Good,0,Good,77,Moderate,34.1754,-103.3565,North America
26,United States,Post Falls,61,Moderate,1,Good,32,Good,3,Good,61,Moderate,47.7213,-116.9384,North America
27,Brazil,Pouso Alegre,32,Good,1,Good,7,Good,2,Good,32,Good,-22.2281,-45.9336,South America
28,Russia,Dalnegorsk,29,Good,0,Good,29,Good,0,Good,25,Good,44.55,135.5833,Asia
29,India,Darbhanga,247,Very Unhealthy,3,Good,162,Unhealthy,1,Good,247,Very Unhealthy,26.17,85.9,Asia
30,United States,Dayton,45,Good,1,Good,32,Good,7,Good,45,Good,39.7805,-84.2003,North America
31,Belgium,Deinze,36,Good,1,Good,25,Good,3,Good,36,Good,50.9833,3.5333,Europe
32,Haiti,Delmas,124,Unhealthy for Sensitive Groups,2,Good,15,Good,5,Good,124,Unhealthy for Sensitive Groups,18.55,-72.3,North America
33,United States,Deming,72,Moderate,1,Good,26,Good,2,Good,72,Moderate,32.2631,-107.7525,North America
34,United Kingdom,Denton,55,Moderate,0,Good,32,Good,1,Good,55,Moderate,33.2175,-97.1418,Europe
35,United States,Destin,31,Good,0,Good,31,Good,0,Good,25,Good,30.395,-86.4701,North America
36,India,Dharmapuri,60,Moderate,1,Good,31,Good,1,Good,60,Moderate,12.127,78.158,Asia
37,Philippines,Dipolog,30,Good,1,Good,17,Good,0,Good,30,Good,8.5872,123.3408,Asia
38,Latvia,Dobele,44,Good,1,Good,34,Good,0,Good,44,Good,56.6167,23.2667,Europe
39,United States,Grandville,47,Good,1,Good,37,Good,4,Good,47,Good,42.9004,-85.7564,North America
40,Netherlands,Grave,37,Good,0,Good,32,Good,2,Good,37,Good,51.7667,5.7333,Europe
41,United States,Green Valley,44,Good,1,Good,14,Good,8,Good,44,Good,31.8393,-111.0009,North America
42,United States,Greendale,58,Moderate,2,Good,14,Good,24,Good,58,Moderate,42.9371,-88.0018,North America
43,Colombia,Guamo,89,Moderate,3,Good,3,Good,6,Good,89,Moderate,4.0833,-74.9167,South America
44,Italy,Guardiagrele,52,Moderate,2,Good,38,Good,7,Good,52,Moderate,42.2,14.2167,Europe
45,United Kingdom,Guildford,51,Moderate,1,Good,25,Good,6,Good,51,Moderate,51.2365,-0.5703,Europe
46,Russia,Gukovo,38,Good,1,Good,38,Good,0,Good,13,Good,48.05,39.9167,Asia
47,United States,Hazelwood,88,Moderate,2,Good,11,Good,20,Good,88,Moderate,38.7931,-90.3899,North America
48,Germany,Heddesheim,54,Moderate,1,Good,31,Good,3,Good,54,Moderate,49.5053,8.6033,Europe
49,Germany,Heiligenhaus,44,Good,1,Good,28,Good,3,Good,44,Good,51.3167,6.9667,Europe
50,United Kingdom,Hemel Hempstead,51,Moderate,1,Good,26,Good,6,Good,51,Moderate,51.7526,-0.4692,Europe
51,United States,Hicksville,67,Moderate,2,Good,15,Good,23,Good,67,Moderate,40.7637,-73.5245,North America
52,Germany,Haiger,49,Good,1,Good,25,Good,3,Good,49,Good,50.7422,8.2039,Europe
53,China,Hangzhou,203,Very Unhealthy,5,Good,203,Very Unhealthy,5,Good,151,Unhealthy,30.25,120.1675,Asia
54,Germany,Harrislee,35,Good,0,Good,32,Good,0,Good,35,Good,54.7972,9.3764,Europe
55,United States,Harrison,90,Moderate,1,Good,25,Good,2,Good,90,Moderate,40.7431,-74.1531,North America
56,Germany,Hasbergen,36,Good,0,Good,34,Good,1,Good,36,Good,52.2167,7.9167,Europe
57,France,Haubourdin,48,Good,1,Good,28,Good,4,Good,48,Good,50.6092,2.9869,Europe
58,United States,Taunton,41,Good,1,Good,28,Good,10,Good,41,Good,51.019,-3.1,North America
59,New Zealand,Tauranga,19,Good,0,Good,19,Good,1,Good,17,Good,-37.6833,176.1667,Oceania
60,Italy,Teano,47,Good,1,Good,47,Good,1,Good,36,Good,41.25,14.0667,Europe
61,India,Tekkali,155,Unhealthy,3,Good,82,Moderate,1,Good,155,Unhealthy,18.6057,84.2355,Asia
62,Brazil,Teodoro Sampaio,46,Good,1,Good,9,Good,1,Good,46,Good,-22.5328,-52.1678,South America
63,Mexico,Tequila,64,Moderate,1,Good,15,Good,2,Good,64,Moderate,20.8794,-103.8356,North America
64,Italy,Teramo,44,Good,1,Good,44,Good,1,Good,38,Good,42.6589,13.7039,Europe
65,China,Tianjin,142,Unhealthy for Sensitive Groups,4,Good,113,Unhealthy for Sensitive Groups,9,Good,142,Unhealthy for Sensitive Groups,39.1467,117.2056,Asia
66,Philippines,Toboso,54,Moderate,1,Good,20,Good,0,Good,54,Moderate,10.7167,123.5167,Asia
67,Japan,Tokorozawa,60,Moderate,1,Good,44,Good,3,Good,60,Moderate,35.7996,139.4686,Asia
68,Mexico,Toluca,166,Unhealthy,4,Good,8,Good,19,Good,166,Unhealthy,19.2925,-99.6569,North America
69,Brazil,Itapissuma,27,Good,0,Good,23,Good,1,Good,27,Good,-7.7764,-34.8919,South America
70,Brazil,Itarantim,23,Good,1,Good,7,Good,1,Good,23,Good,-15.66,-40.0658,South America
71,Brazil,Itumbiara,31,Good,1,Good,13,Good,0,Good,31,Good,-18.4167,-49.2167,South America
72,El Salvador,Izalco,90,Moderate,2,Good,22,Good,9,Good,90,Moderate,13.7333,-89.6667,North America
73,Russia,Izberbash,51,Moderate,1,Good,38,Good,0,Good,51,Moderate,42.5633,47.8636,Asia
74,India,Jabalpur,170,Unhealthy,1,Good,38,Good,0,Good,170,Unhealthy,23.1667,79.9333,Asia
75,Brazil,Jaguaquara,22,Good,0,Good,9,Good,1,Good,22,Good,-13.5308,-39.9708,South America
76,Poland,Jarocin,47,Good,1,Good,27,Good,2,Good,47,Good,51.9667,17.5,Europe
77,Philippines,Jasaan,59,Moderate,1,Good,32,Good,0,Good,59,Moderate,8.65,124.75,Asia
78,Nigeria,Ilobu,133,Unhealthy for Sensitive Groups,4,Good,23,Good,3,Good,133,Unhealthy for Sensitive Groups,7.84,4.486,Africa
79,Finland,Imatra,29,Good,1,Good,29,Good,1,Good,7,Good,61.1833,28.7667,Europe
80,Brazil,Indaial,73,Moderate,2,Good,2,Good,8,Good,73,Moderate,-26.8978,-49.2319,South America
81,Philippines,Indang,50,Good,0,Good,24,Good,0,Good,50,Good,14.2,120.8833,Asia
82,Brazil,Itagi,25,Good,0,Good,9,Good,1,Good,25,Good,-14.1628,-40.0058,South America
83,Nigeria,Iseyin,90,Moderate,3,Good,18,Good,2,Good,90,Moderate,7.9667,3.6,Africa
84,Mexico,Isla,81,Moderate,2,Good,26,Good,3,Good,81,Moderate,18.0292,-95.5264,North America
85,Brazil,Itaitinga,29,Good,0,Good,20,Good,1,Good,29,Good,-3.9689,-38.5278,South America
86,Brazil,Itapemirim,44,Good,1,Good,16,Good,1,Good,44,Good,-21.0108,-40.8339,South America
87,South Sudan,Torit,65,Moderate,1,Good,12,Good,0,Good,65,Moderate,4.4081,32.575,Africa
88,United States,Trenton,53,Moderate,1,Good,28,Good,10,Good,53,Moderate,40.2237,-74.7641,North America
89,United States,Trujillo Alto,56,Moderate,0,Good,23,Good,0,Good,56,Moderate,18.3599,-66.0096,North America
90,Ireland,Tullamore,57,Moderate,1,Good,26,Good,3,Good,57,Moderate,53.2667,-7.5,Europe
91,Turkey,Tunceli,62,Moderate,0,Good,35,Good,0,Good,62,Moderate,39.1064,39.5472,Europe
92,United States,Two Rivers,49,Good,1,Good,27,Good,4,Good,49,Good,44.1565,-87.5824,North America
93,Russia,Tyukalinsk,34,Good,1,Good,34,Good,0,Good,32,Good,55.8667,72.2,Asia
94,India,Umaria,163,Unhealthy,2,Good,92,Moderate,0,Good,163,Unhealthy,23.5247,80.8372,Asia
95,United States,Willowbrook,126,Unhealthy for Sensitive Groups,4,Good,3,Good,36,Good,126,Unhealthy for Sensitive Groups,33.9209,-118.2356,North America
96,United States,Wilmette,63,Moderate,2,Good,9,Good,22,Good,63,Moderate,42.0771,-87.7282,North America
97,United States,Wolf Trap,53,Moderate,2,Good,27,Good,10,Good,53,Moderate,38.9395,-77.2842,North America
98,United States,Woodhaven,86,Moderate,2,Good,38,Good,10,Good,86,Moderate,42.132,-83.2374,North America
99,China,Xushan,112,Unhealthy for Sensitive Groups,2,Good,44,Good,4,Good,112,Unhealthy for Sensitive Groups,30.1697,121.2665,Asia
100,China,Yancheng,155,Unhealthy,3,Good,155,Unhealthy,2,Good,151,Unhealthy,33.3936,120.1339,Asia
101,Congo,Yangambi,121,Unhealthy for Sensitive Groups,4,Good,24,Good,0,Good,121,Unhealthy for Sensitive Groups,0.7675,24.4414,Africa
102,China,Yanji,69,Moderate,2,Good,48,Good,0,Good,69,Moderate,42.9044,129.5067,Asia
103,United States,Yankton,47,Good,1,Good,34,Good,3,Good,47,Good,42.8901,-97.3927,North America
104,Germany,Wenden,69,Moderate,1,Good,34,Good,4,Good,69,Moderate,50.9667,7.8667,Europe
105,Belgium,Wetteren,64,Moderate,1,Good,32,Good,6,Good,64,Moderate,51.0,3.8833,Europe
106,Canada,Whitehorse,20,Good,1,Good,20,Good,1,Good,10,Good,60.7029,-135.0691,North America
107,Ireland,Wicklow,38,Good,1,Good,30,Good,3,Good,38,Good,52.9779,-6.033,Europe
108,Switzerland,Wil,59,Moderate,1,Good,27,Good,3,Good,59,Moderate,47.4667,9.05,Europe
109,Germany,Wildeshausen,67,Moderate,1,Good,30,Good,5,Good,67,Moderate,52.9,8.4333,Europe
110,United States,Williamsport,75,Moderate,2,Good,13,Good,16,Good,75,Moderate,41.2399,-77.037,North America
111,United States,Fox Lake,60,Moderate,2,Good,18,Good,21,Good,60,Moderate,42.4239,-88.1844,North America
112,Denmark,Frederikssund,36,Good,1,Good,36,Good,0,Good,25,Good,55.8333,12.0666,Europe
113,United States,Friendly,41,Good,1,Good,30,Good,8,Good,41,Good,38.7601,-76.9642,North America
114,Germany,Fuldatal,44,Good,1,Good,28,Good,2,Good,44,Good,51.3484,9.5256,Europe
115,Japan,Furano,29,Good,1,Good,26,Good,1,Good,29,Good,43.342,142.3832,Asia
116,China,Fuzhou,168,Unhealthy,3,Good,168,Unhealthy,5,Good,99,Moderate,27.9814,116.3577,Asia
117,United Kingdom,Galashiels,25,Good,1,Good,25,Good,3,Good,23,Good,55.6194,-2.8033,Europe
118,Germany,Gangelt,41,Good,1,Good,26,Good,4,Good,41,Good,50.9831,6.0,Europe
119,Germany,Garbsen,36,Good,0,Good,33,Good,1,Good,36,Good,52.4183,9.5981,Europe
120,Cameroon,Garoua,59,Moderate,2,Good,12,Good,0,Good,59,Moderate,9.3,13.4,Africa
121,Netherlands,Geertruidenberg,35,Good,0,Good,33,Good,2,Good,35,Good,51.7,4.8586,Europe
122,Australia,Geraldton,29,Good,0,Good,29,Good,0,Good,13,Good,-28.7744,114.6089,Oceania
123,Germany,Germersheim,51,Moderate,1,Good,29,Good,3,Good,51,Moderate,49.2167,8.3667,Europe
124,Colombia,Girardot,103,Unhealthy for Sensitive Groups,4,Good,9,Good,6,Good,103,Unhealthy for Sensitive Groups,4.305,-74.8017,South America
125,United Kingdom,Golborne,35,Good,1,Good,30,Good,4,Good,35,Good,53.4758,-2.5943,Europe
126,Portugal,Gondomar,27,Good,0,Good,27,Good,2,Good,21,Good,41.15,-8.5333,Europe
127,India,Govindgarh,307,Hazardous,1,Good,45,Good,0,Good,307,Hazardous,24.3785,81.2964,Asia
128,United States,Hoffman Estates,61,Moderate,2,Good,26,Good,16,Good,61,Moderate,42.064,-88.1468,North America
129,United States,Holly Springs,42,Good,1,Good,42,Good,2,Good,37,Good,35.6526,-78.8399,North America
130,Germany,Holzminden,42,Good,0,Good,32,Good,1,Good,42,Good,51.8297,9.4483,Europe
131,Ethiopia,Huruta,102,Unhealthy for Sensitive Groups,1,Good,23,Good,0,Good,102,Unhealthy for Sensitive Groups,8.15,39.35,Africa
132,Italy,Iglesias,64,Moderate,1,Good,53,Moderate,1,Good,64,Moderate,39.3167,8.5333,Europe
133,Japan,Iizuka,45,Good,1,Good,45,Good,0,Good,38,Good,33.65,130.6833,Asia
134,Japan,Suzu,69,Moderate,1,Good,69,Moderate,1,Good,60,Moderate,37.4363,137.2605,Asia
135,Hungary,Szeged,50,Good,1,Good,41,Good,1,Good,50,Good,46.255,20.145,Europe
136,Iran,Tafresh,125,Unhealthy for Sensitive Groups,2,Good,125,Unhealthy for Sensitive Groups,1,Good,82,Moderate,34.6919,50.0131,Asia
137,Philippines,Tagaytay,41,Good,1,Good,25,Good,1,Good,41,Good,14.1,120.9333,Asia
138,Japan,Tajimi,52,Moderate,1,Good,34,Good,3,Good,52,Moderate,35.3328,137.1316,Asia
139,Japan,Takahagi,47,Good,1,Good,47,Good,1,Good,44,Good,36.7192,140.7167,Asia
140,Japan,Takahashi,36,Good,1,Good,36,Good,3,Good,34,Good,34.7914,133.6164,Asia
141,Philippines,Talacogon,37,Good,1,Good,19,Good,0,Good,37,Good,8.4488,125.7869,Asia
142,Russia,Taldom,46,Good,1,Good,27,Good,1,Good,46,Good,56.7333,37.5333,Asia
143,United States,Tamiami,64,Moderate,1,Good,18,Good,12,Good,64,Moderate,25.7556,-80.4016,North America
144,Israel,Tamra,92,Moderate,2,Good,52,Moderate,8,Good,92,Moderate,32.8536,35.1978,Asia
145,Philippines,Tantangan,35,Good,1,Good,20,Good,0,Good,35,Good,6.6167,124.75,Asia
146,Indonesia,Tarogong,88,Moderate,2,Good,53,Moderate,1,Good,88,Moderate,-7.215,107.8856,Asia
147,Turkey,Tatvan,45,Good,0,Good,45,Good,0,Good,43,Good,38.5022,42.2814,Europe
148,United Kingdom,Yeovil,58,Moderate,1,Good,24,Good,7,Good,58,Moderate,50.9452,-2.637,Europe
149,China,Yuanping,143,Unhealthy for Sensitive Groups,2,Good,35,Good,5,Good,143,Unhealthy for Sensitive Groups,38.7299,112.7134,Asia
150,China,Yuncheng,187,Unhealthy,2,Good,36,Good,8,Good,187,Unhealthy,35.0304,110.998,Asia
151,Belgium,Zaventem,58,Moderate,1,Good,29,Good,6,Good,58,Moderate,50.8833,4.4667,Europe
152,Belgium,Zemst,65,Moderate,1,Good,27,Good,8,Good,65,Moderate,50.9722,4.4222,Europe
153,China,Zhaozhou,73,Moderate,2,Good,66,Moderate,0,Good,73,Moderate,37.7527,114.7775,Asia
154,China,Zhongshan,98,Moderate,3,Good,33,Good,9,Good,98,Moderate,22.5333,113.35,Asia
155,China,Zhuji,156,Unhealthy,4,Good,45,Good,10,Good,156,Unhealthy,29.7169,120.2314,Asia
156,Mexico,Zinacantepec,163,Unhealthy,4,Good,8,Good,18,Good,163,Unhealthy,19.2833,-99.7333,North America
157,Russia,Zmeinogorsk,35,Good,1,Good,35,Good,0,Good,21,Good,51.1667,82.2,Asia
158,Italy,Abbiategrasso,69,Moderate,1,Good,37,Good,4,Good,69,Moderate,45.4,8.9167,Europe
159,Ivory Coast,Abidjan,105,Unhealthy for Sensitive Groups,4,Good,15,Good,4,Good,105,Unhealthy for Sensitive Groups,5.3167,-4.0333,Africa
160,United States,Acworth,64,Moderate,2,Good,37,Good,8,Good,64,Moderate,34.0566,-84.6716,North America
161,United States,Adelphi,54,Moderate,1,Good,32,Good,5,Good,54,Moderate,39.0017,-76.9649,North America
162,United States,Alabaster,80,Moderate,1,Good,18,Good,10,Good,80,Moderate,33.2198,-86.8225,North America
163,Russia,Alagir,50,Good,1,Good,36,Good,1,Good,50,Good,43.0333,44.2333,Asia
164,Belgium,Alken,35,Good,1,Good,25,Good,3,Good,35,Good,50.8761,5.3078,Europe
165,Canada,Alma,55,Moderate,1,Good,27,Good,0,Good,55,Moderate,48.55,-71.65,North America
166,Papua New Guinea,Alotau,28,Good,0,Good,28,Good,0,Good,13,Good,-10.3167,150.4333,Oceania
167,Madagascar,Ambovombe,26,Good,0,Good,26,Good,0,Good,20,Good,-25.1764,46.0833,Africa
168,China,Anqiu,107,Unhealthy for Sensitive Groups,2,Good,107,Unhealthy for Sensitive Groups,5,Good,86,Moderate,36.3619,119.1072,Asia
169,Madagascar,Antalaha,22,Good,0,Good,22,Good,0,Good,20,Good,-14.8833,50.25,Africa
170,United States,Antioch,76,Moderate,3,Good,7,Good,25,Good,76,Moderate,37.9787,-121.796,North America
171,Ghana,Apam,104,Unhealthy for Sensitive Groups,2,Good,14,Good,1,Good,104,Unhealthy for Sensitive Groups,5.2789,-0.7397,Africa
172,Russia,Arkadak,28,Good,1,Good,28,Good,1,Good,15,Good,51.9333,43.5,Asia
173,Russia,Arsk,28,Good,1,Good,28,Good,1,Good,19,Good,56.1,49.8833,Asia
174,Armenia,Ashtarak,39,Good,1,Good,29,Good,1,Good,39,Good,40.2975,44.3617,Europe
175,Guatemala,Atescatempa,104,Unhealthy for Sensitive Groups,3,Good,5,Good,10,Good,104,Unhealthy for Sensitive Groups,14.175,-89.7417,North America
176,Italy,Atri,57,Moderate,1,Good,40,Good,3,Good,57,Moderate,42.5833,13.9833,Europe
177,United Kingdom,Ayr,29,Good,1,Good,29,Good,2,Good,20,Good,55.458,-4.629,Europe
178,Netherlands,Baarn,34,Good,0,Good,34,Good,1,Good,26,Good,52.2167,5.2833,Europe
179,Germany,Bad Langensalza,32,Good,0,Good,30,Good,1,Good,32,Good,51.1081,10.6467,Europe
180,Pakistan,Bahawalnagar,500,Hazardous,1,Good,38,Good,1,Good,466,Hazardous,29.9928,73.2536,Asia
181,Thailand,Ban Phai,52,Moderate,0,Good,28,Good,0,Good,52,Moderate,16.073,102.7362,Asia
182,Philippines,Bangued,27,Good,0,Good,23,Good,0,Good,27,Good,17.5965,120.6179,Asia
183,Germany,Bargteheide,38,Good,0,Good,28,Good,2,Good,38,Good,53.7167,10.2667,Europe
184,United States,Bartlesville,56,Moderate,1,Good,23,Good,6,Good,56,Moderate,36.7365,-95.9456,North America
185,Pakistan,Bat Khela,117,Unhealthy for Sensitive Groups,1,Good,117,Unhealthy for Sensitive Groups,1,Good,78,Moderate,34.62,71.97,Asia
186,Malaysia,Batu Gajah,92,Moderate,2,Good,57,Moderate,1,Good,92,Moderate,4.4667,101.05,Asia
187,Italy,Castel Goffredo,124,Unhealthy for Sensitive Groups,2,Good,32,Good,7,Good,124,Unhealthy for Sensitive Groups,45.2981,10.475,Europe
188,Italy,Catanzaro,68,Moderate,2,Good,68,Moderate,6,Good,57,Moderate,38.9,16.6,Europe
189,Philippines,Catbalogan,68,Moderate,1,Good,26,Good,0,Good,68,Moderate,11.7833,124.8833,Asia
190,Ecuador,Cayambe,39,Good,1,Good,4,Good,2,Good,39,Good,0.0439,-78.1561,South America
191,Italy,Cesenatico,38,Good,1,Good,36,Good,5,Good,38,Good,44.2,12.3944,Europe
192,Argentina,Chacabuco,17,Good,0,Good,17,Good,1,Good,17,Good,-34.6333,-60.4667,South America
193,Peru,Chachapoyas,21,Good,0,Good,4,Good,0,Good,21,Good,-6.2167,-77.85,South America
194,China,Chaoyang,151,Unhealthy,3,Good,119,Unhealthy for Sensitive Groups,1,Good,151,Unhealthy,41.5757,120.4486,Asia
195,Russia,Cherepanovo,38,Good,1,Good,38,Good,0,Good,35,Good,54.2333,83.3667,Asia
196,Russia,Cherkessk,49,Good,1,Good,40,Good,0,Good,49,Good,44.2222,42.0575,Asia
197,Mexico,Chilpancingo,72,Moderate,2,Good,4,Good,5,Good,72,Moderate,17.55,-99.5,North America
198,United States,Cimarron Hills,73,Moderate,1,Good,32,Good,2,Good,73,Moderate,38.8597,-104.6995,North America
199,Brazil,Coari,46,Good,1,Good,2,Good,0,Good,46,Good,-4.085,-63.1408,South America
200,United Kingdom,Coatbridge,35,Good,1,Good,12,Good,9,Good,35,Good,55.8625,-4.0266,Europe
201,Ireland,Cobh,24,Good,0,Good,24,Good,1,Good,16,Good,51.851,-8.2967,Europe
202,Brazil,Colatina,45,Good,1,Good,14,Good,2,Good,45,Good,-19.5389,-40.6308,South America
203,Dominican Republic,Comendador,65,Moderate,1,Good,12,Good,6,Good,65,Moderate,18.8833,-71.7,North America
204,Italy,Como,112,Unhealthy for Sensitive Groups,1,Good,34,Good,4,Good,112,Unhealthy for Sensitive Groups,45.8103,9.0861,Europe
205,Brazil,Conde,19,Good,0,Good,19,Good,0,Good,11,Good,-11.8139,-37.6108,South America
206,United Kingdom,Consett,31,Good,0,Good,31,Good,2,Good,22,Good,54.85,-1.83,Europe
207,United States,Cooper City,152,Unhealthy,4,Good,4,Good,19,Good,152,Unhealthy,26.0463,-80.2862,North America
208,United States,Copperas Cove,31,Good,1,Good,21,Good,1,Good,31,Good,31.1192,-97.914,North America
209,Argentina,Corrientes,13,Good,1,Good,12,Good,0,Good,13,Good,-27.4833,-58.8167,South America
210,Italy,Crevalcore,103,Unhealthy for Sensitive Groups,2,Good,28,Good,9,Good,103,Unhealthy for Sensitive Groups,44.7167,11.15,Europe
211,Azerbaijan,Culfa,52,Moderate,1,Good,35,Good,0,Good,52,Moderate,38.9558,45.6308,Europe
212,Spain,Culleredo,30,Good,0,Good,30,Good,2,Good,13,Good,43.2883,-8.3894,Europe
213,India,Cuncolim,73,Moderate,0,Good,25,Good,0,Good,73,Moderate,15.1773,73.9939,Asia
214,Brazil,Curvelo,42,Good,1,Good,2,Good,4,Good,42,Good,-18.7558,-44.4308,South America
215,Germany,Cuxhaven,35,Good,0,Good,35,Good,0,Good,30,Good,53.8611,8.6944,Europe
216,United States,Cypress Lake,46,Good,1,Good,25,Good,5,Good,46,Good,26.5392,-81.8999,North America
217,Guinea,Dalaba,63,Moderate,2,Good,13,Good,0,Good,63,Moderate,10.656,-12.272,Africa
218,France,Beaune,39,Good,1,Good,26,Good,1,Good,39,Good,47.025,4.8397,Europe
219,United States,Bedford,56,Moderate,1,Good,18,Good,6,Good,56,Moderate,52.135,-0.47,North America
220,Ghana,Begoro,105,Unhealthy for Sensitive Groups,2,Good,13,Good,2,Good,105,Unhealthy for Sensitive Groups,6.3833,-0.3833,Africa
221,China,Beipiao,93,Moderate,2,Good,90,Moderate,1,Good,93,Moderate,41.802,120.7621,Asia
222,Brazil,Bela Cruz,45,Good,0,Good,22,Good,0,Good,45,Good,-3.0508,-40.1678,South America
223,Bolivia,Bermejo,54,Moderate,1,Good,8,Good,1,Good,54,Moderate,-22.7322,-64.3425,South America
224,Germany,Bernburg,36,Good,0,Good,29,Good,2,Good,36,Good,51.8,11.7333,Europe
225,United States,Berwick,50,Good,1,Good,35,Good,5,Good,50,Good,41.0555,-76.2492,North America
226,India,Betma,153,Unhealthy,1,Good,34,Good,0,Good,153,Unhealthy,22.68,75.62,Asia
227,United States,Beverly,48,Good,1,Good,36,Good,5,Good,48,Good,42.5681,-70.8627,North America
228,Russia,Bezhetsk,24,Good,0,Good,24,Good,0,Good,24,Good,57.7667,36.7,Asia
229,Pakistan,Bhalwal,179,Unhealthy,3,Good,179,Unhealthy,2,Good,166,Unhealthy,32.2656,72.8994,Asia
230,India,Bhiwandi,151,Unhealthy,1,Good,26,Good,1,Good,151,Unhealthy,19.2967,73.0631,Asia
231,Indonesia,Binjai,92,Moderate,2,Good,45,Good,0,Good,92,Moderate,3.5986,98.4803,Asia
232,Russia,Baksan,48,Good,1,Good,39,Good,1,Good,48,Good,43.6825,43.5339,Asia
233,Colombia,Baranoa,104,Unhealthy for Sensitive Groups,1,Good,16,Good,2,Good,104,Unhealthy for Sensitive Groups,10.8,-74.9167,South America
234,Philippines,Baras,51,Moderate,1,Good,27,Good,1,Good,51,Moderate,14.5167,121.2667,Asia
235,Thailand,Nong Bua,38,Good,0,Good,20,Good,0,Good,38,Good,15.8647,100.5858,Asia
236,Netherlands,Noordwijkerhout,41,Good,1,Good,27,Good,5,Good,41,Good,52.2667,4.5,Europe
237,United States,Northbridge,47,Good,1,Good,46,Good,2,Good,47,Good,42.13,-71.6547,North America
238,United Kingdom,Norwich,29,Good,0,Good,29,Good,3,Good,18,Good,52.6286,1.2928,Europe
239,Netherlands,Nuenen,37,Good,1,Good,32,Good,3,Good,37,Good,51.4733,5.5467,Europe
240,Chile,Nueva Imperial,61,Moderate,2,Good,2,Good,9,Good,61,Moderate,-38.7433,-72.95,South America
241,Mexico,Nuevo Casas Grandes,46,Good,1,Good,17,Good,2,Good,46,Good,30.4167,-107.9167,North America
242,United States,Oak Lawn,79,Moderate,2,Good,13,Good,27,Good,79,Moderate,41.7139,-87.7528,North America
243,United States,Oakdale,53,Moderate,1,Good,24,Good,9,Good,53,Moderate,44.9876,-92.9641,North America
244,Japan,Odawara,39,Good,1,Good,38,Good,2,Good,39,Good,35.25,139.15,Asia
245,Macedonia,Ohrid,42,Good,1,Good,41,Good,0,Good,42,Good,41.1169,20.8019,Europe
246,Poland,Olecko,47,Good,1,Good,36,Good,0,Good,47,Good,54.0333,22.5,Europe
247,Germany,Olfen,32,Good,1,Good,27,Good,4,Good,32,Good,51.7167,7.3833,Europe
